PAYMENT|P001|A001|29809151230001|29809151230002|4500.75|PENDING
PAYMENT|P002|A002|29809151230003|29809151230004|3200.00|COMPLETED
PAYMENT|P003|A003|29809151230005|29809151230006|1800.50|FAILED
PAYMENT|P004|A004|29809151230007|29809151230008|2500.00|PENDING
PAYMENT|P005|A005|29809151230009|29809151230010|6700.00|COMPLETED
PAYMENT|P006|A006|29809151230002|29809151230003|3100.00|PENDING
PAYMENT|P007|A007|29809151230004|29809151230005|4200.90|COMPLETED
PAYMENT|P008|A008|29809151230006|29809151230007|1500.00|FAILED
PAYMENT|P009|A009|29809151230008|29809151230009|8900.00|PENDING
PAYMENT|P010|A010|29809151230010|29809151230001|2300.00|COMPLETED
